,seats,kms_driven,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1419,5,7962,2019,20.52,1197,1197,8180,4.89
1420,7,260000,2012,12.8,2494,2494,102,6.25
1421,5,44508,2018,19.69,1198,1198,6704,3.38
1422,5,58958,2014,14.5,1797,1797,1475,5.25
1423,5,44000,2018,20.89,1197,1197,8180,4.65
1424,5,48188,2022,17.03,1462,1462,10326,8.25
1425,5,55000,2009,20.36,1197,1197,789,1.51
1426,5,24268,2013,1197,82,82,114,2.85
1427,5,23000,2019,17.01,1582,1582,1262,10.5
1428,5,38502,2020,13.96,1451,1451,141,13.75
1429,5,35000,2017,19.67,1582,1582,1262,7.5
1430,5,43487,2020,16.5,1353,1353,13808,13.5
1431,5,32000,2018,24.3,1248,1248,885,7.5
1432,5,14400,2019,17.9,2143,2143,136,24
1433,5,62920,2017,1198,74,74,110,5.27
1434,5,60467,2012,19,998,998,661,2.8
1435,5,65017,2014,19.81,1086,1086,6805,2.25
1436,5,38015,2017,21.21,1197,1197,8180,5.47
1437,5,49134,2017,17.71,1197,1197,789,4.42
1438,5,37100,2016,21.79,998,998,6705,3.1
1439,5,69977,2021,20.28,998,998,11841,8.69
1440,5,16937,2017,19.34,1198,1198,7594,3.25
1441,7,51441,2018,15.1,2179,2179,15287,10.71
1442,5,53947,2017,21.21,1197,1197,8180,5.62
1443,5,30000,2020,16.5,1353,1353,13808,13.2
1444,5,40909,2015,18.6,1197,1197,8183,4.35
1445,7,70000,2019,18.49,1493,1493,100,5.75
1446,5,69000,2011,17.5,1197,1197,858,2.25
1447,5,28662,2017,18.7,1199,1199,887,3.85
1448,5,46912,2021,14.6,1956,1956,16767,16.25
1450,5,65000,2013,15.04,1598,1598,1036,2.5
1451,5,40238,2013,19.27,2143,2143,170,12.5
1452,5,52000,2020,21.66,1498,1498,10862,4.45
1453,5,22873,2021,20.3,1086,1086,6805,4.73
1454,5,77389,2012,19,998,998,661,2.27
1455,5,32000,2018,22,1197,1197,8180,5.3
